Titre :;Dollar des Etats-Unis (USD)
Code série :;EXR.D.USD.EUR.SP00.A
Unité :;Dollar des Etats-Unis (USD)
Magnitude :;Unités (0)
Méthode d'observation :;Moyenne de la période (A)
Source :;BCE (Banque Centrale Européenne) (4F0)
2026-04-29;1,1706
2026-04-28;1,168
2026-04-27;1,1749
2026-04-26;-
2026-04-25;-
2026-04-24;1,1712
2026-04-23;1,1694
2026-04-22;1,1733
2026-04-21;1,1767
2026-04-20;1,176
2026-04-19;-
2026-04-18;-
2026-04-17;1,1797
2026-04-16;1,1782
2026-04-15;1,178
2026-04-14;1,1793
2026-04-13;1,1684
2026-04-12;-
2026-04-11;-
2026-04-10;1,1711
2026-04-09;1,1685
2026-04-08;1,1706
2026-04-07;1,1557
2026-04-06;-
2026-04-05;-
2026-04-04;-
2026-04-03;-
2026-04-02;1,1525
2026-04-01;1,1605
2026-03-31;1,1498
2026-03-30;1,1484
2026-03-29;-
2026-03-28;-
2026-03-27;1,1517
2026-03-26;1,1539
2026-03-25;1,1592
2026-03-24;1,1572
2026-03-23;1,1596
2026-03-22;-
2026-03-21;-
2026-03-20;1,1555
2026-03-19;1,1489
2026-03-18;1,15
2026-03-17;1,1531
2026-03-16;1,1478
2026-03-15;-
2026-03-14;-
2026-03-13;1,1476
2026-03-12;1,1547
2026-03-11;1,1581
2026-03-10;1,1641
2026-03-09;1,1555
2026-03-08;-
2026-03-07;-
2026-03-06;1,1561
2026-03-05;1,1618
2026-03-04;1,1649
2026-03-03;1,1606
2026-03-02;1,1698
2026-03-01;-
2026-02-28;-
2026-02-27;1,1805
2026-02-26;1,1814
2026-02-25;1,1784
2026-02-24;1,1777
2026-02-23;1,1784
2026-02-22;-
2026-02-21;-
2026-02-20;1,1767
2026-02-19;1,1753
2026-02-18;1,1845
2026-02-17;1,1826
2026-02-16;1,1855
2026-02-15;-
2026-02-14;-
2026-02-13;1,1862
2026-02-12;1,1874
2026-02-11;1,19
2026-02-10;1,1894
2026-02-09;1,1886
2026-02-08;-
2026-02-07;-
2026-02-06;1,1794
2026-02-05;1,1798
2026-02-04;1,182
2026-02-03;1,1801
2026-02-02;1,184
2026-02-01;-
2026-01-31;-
2026-01-30;1,1919
2026-01-29;1,1968
2026-01-28;1,1974
2026-01-27;1,1929
2026-01-26;1,1836
2026-01-25;-
2026-01-24;-
2026-01-23;1,1742
2026-01-22;1,1706
2026-01-21;1,1739
2026-01-20;1,1728
2026-01-19;1,1631
2026-01-18;-
2026-01-17;-
2026-01-16;1,1617
2026-01-15;1,1624
2026-01-14;1,1651
2026-01-13;1,1654
2026-01-12;1,1692
2026-01-11;-
2026-01-10;-
2026-01-09;1,1642
2026-01-08;1,1675
2026-01-07;1,1684
2026-01-06;1,1707
2026-01-05;1,1664
2026-01-04;-
2026-01-03;-
2026-01-02;1,1721
2026-01-01;-
2025-12-31;1,175
2025-12-30;1,1757
2025-12-29;1,1766
2025-12-28;-
2025-12-27;-
2025-12-26;-
2025-12-25;-
2025-12-24;1,1787
2025-12-23;1,1786
2025-12-22;1,1745
2025-12-21;-
2025-12-20;-
2025-12-19;1,1712
2025-12-18;1,1719
2025-12-17;1,1722
2025-12-16;1,1776
2025-12-15;1,1753
2025-12-14;-
2025-12-13;-
2025-12-12;1,1731
2025-12-11;1,1714
2025-12-10;1,1634
2025-12-09;1,1637
2025-12-08;1,1655
2025-12-07;-
2025-12-06;-
2025-12-05;1,1645
2025-12-04;1,1666
2025-12-03;1,1668
2025-12-02;1,1614
2025-12-01;1,1646
2025-11-30;-
2025-11-29;-
2025-11-28;1,1566
2025-11-27;1,1586
2025-11-26;1,1577
2025-11-25;1,1551
2025-11-24;1,1544
2025-11-23;-
2025-11-22;-
2025-11-21;1,152
2025-11-20;1,1514
2025-11-19;1,1583
2025-11-18;1,159
2025-11-17;1,1593
2025-11-16;-
2025-11-15;-
2025-11-14;1,1648
2025-11-13;1,1619
2025-11-12;1,1576
2025-11-11;1,1575
2025-11-10;1,1571
2025-11-09;-
2025-11-08;-
2025-11-07;1,1561
2025-11-06;1,1533
2025-11-05;1,1492
2025-11-04;1,1491
2025-11-03;1,1514
2025-11-02;-
2025-11-01;-
2025-10-31;1,1554
2025-10-30;1,155
2025-10-29;1,1636
2025-10-28;1,163
2025-10-27;1,164
2025-10-26;-
2025-10-25;-
2025-10-24;1,1612
2025-10-23;1,1593
2025-10-22;1,1587
2025-10-21;1,1607
2025-10-20;1,1655
2025-10-19;-
2025-10-18;-
2025-10-17;1,1681
2025-10-16;1,1649
2025-10-15;1,1622
2025-10-14;1,1553
2025-10-13;1,1569
2025-10-12;-
2025-10-11;-
2025-10-10;1,1568
2025-10-09;1,1611
2025-10-08;1,1627
2025-10-07;1,1666
2025-10-06;1,1678
2025-10-05;-
2025-10-04;-
2025-10-03;1,1734
2025-10-02;1,1754
2025-10-01;1,1724
2025-09-30;1,1741
2025-09-29;1,1723
2025-09-28;-
2025-09-27;-
2025-09-26;1,1672
2025-09-25;1,1739
2025-09-24;1,1756
2025-09-23;1,1793
2025-09-22;1,1781
2025-09-21;-
2025-09-20;-
2025-09-19;1,1736
2025-09-18;1,1818
2025-09-17;1,1837
2025-09-16;1,1807
2025-09-15;1,1766
2025-09-14;-
2025-09-13;-
2025-09-12;1,1718
2025-09-11;1,1685
2025-09-10;1,1707
2025-09-09;1,1744
2025-09-08;1,1728
2025-09-07;-
2025-09-06;-
2025-09-05;1,1697
2025-09-04;1,1647
2025-09-03;1,1653
2025-09-02;1,1646
2025-09-01;1,1715
2025-08-31;-
2025-08-30;-
2025-08-29;1,1658
2025-08-28;1,1676
2025-08-27;1,1593
2025-08-26;1,1656
2025-08-25;1,1697
2025-08-24;-
2025-08-23;-
2025-08-22;1,1608
2025-08-21;1,1639
2025-08-20;1,1651
2025-08-19;1,1682
2025-08-18;1,1673
2025-08-17;-
2025-08-16;-
2025-08-15;1,1688
